DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P51;P771;P772;P773;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S9A2;P779S14;P780;P780S2;P780S2A1;P780S3;P780S3A1;P780S4;P780S4A1;FEX_C
7121664;3;1;3;1; ; ;1;1;3; ; ;2000;1;3; ; ;1500;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;267,769839239903
7121664;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;267,769839239903
7121667;3;1;3;1; ; ;1;1;3; ; ;1500;1;3; ; ;1500;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;3; ; ; ; ;2; ;2; ;2; ;220,024908037278
7121669;4;1;4;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;259,565151007341
7121669;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;259,565151007341
7121669;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;259,565151007341
7121674;3;1;3;2;9;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;2; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;31,3052827747355
7121682;6;1;6;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;32,6747753787974
7121687;4;1;4;2;2;4; ;1;4; ; ; ;1;1; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;88,8937989011094
7121690;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;49,2347262243161
7121693;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;55,5704666978867
7121693;6;1;6;2;2;6; ;1;4; ; ; ;2; ; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;55,5704666978867
7121694;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ;1;3; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;51,422785318833
7121697;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ;1;3; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;49,2347262243161
7121698;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;3;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;51,8848734717666
7121699;4;1;4;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;51,422785318833
7121705;5;1;5;1; ; ;3;1;3; ; ;8000;1;3; ; ;1500;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;26,0200946301375
7121705;7;1;7;1; ; ;1;1;3; ; ;15000;1;3; ; ;4000;1;6; ; ; ; ;1;2;1;2;1;2;1;1;1;2;1;2; ; ;1;2; ; ;1;2; ; ; ; ;2; ;1;2;2; ;26,0200946301375
7121710;3;1;3;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;1;2;33,6500970568542
7121720;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;19,307433744914
7121723;5;1;5;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;3; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;37,3835627290545
7121729;2;1;2;1; ; ;1;1;3; ; ;20000;1;3; ; ;5000;1;1; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;1;2;107,625663847139
7121732;3;1;3;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ;1;3; ; ;1;2; ; ;1;1; ; ;1;3; ; ; ; ;2; ;2; ;2; ;88,0167245650066
7121732;4;1;4;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;1;2;88,0167245650066
7121733;5;1;5;1; ; ;1;1;3; ; ;1500;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2;1;1;1;1; ; ; ; ; ; ;2; ;1;2;1;2;117,985841693517
7121733;6;1;6;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2;1;2;117,985841693517
7121735;3;1;3;2;1;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;4; ; ; ; ;1;2; ; ; ; ;2; ;2; ;1;2;114,697565982748
7121736;5;1;5;2;2;3; ;1;4; ; ; ;2; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;166,649707908826
7121738;5;1;5;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;1;1; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;105,23936790023
7121741;3;1;3;3;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;188,188977306354
7121759;3;1;3;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ;1;1;1;3;1;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;67,5441442146675
7121773;5;1;5;1; ; ;1;1;3; ; ;10000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;2; ;2; ;2; ;96,8337561724574
7121805;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;37,799278363251
7121811;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;53,9784302267663
7121812;3;1;3;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;34,8974782709409
7121816;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;45,6073251651962
7121816;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;45,6073251651962
7121819;3;1;3;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;25,3155109810744
7121822;3;1;3;1; ; ;3;1;3; ; ;4000;1;3; ; ;3000;1;2; ; ; ; ;1;2;1;2; ; ;1;1; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;40,3636098368535
7121822;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;40,3636098368535
7121827;5;1;5;1; ; ;1;1;3; ; ;3000;1;3; ; ;4000;1;4; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;24,1721151951083
7121846;3;1;3;1; ; ;3;1;3; ; ;5000;1;3; ; ;3000;1;2; ; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;2;1;1;1;1; ; ; ; ; ; ;2; ;2; ;2; ;101,791668740697
7121846;4;1;4;2;2;6; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;101,791668740697
7121856;6;1;6;1; ; ;1;1;3; ; ;5000;1;3; ; ;8000;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;123,812967019518
7121867;5;1;5;1; ; ;3;1;3; ; ;3000;1;3; ; ;2000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;92,3180109330459
7121877;4;1;4;2;2;6; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;37,3201312646348
7121878;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;40,4674574655237
7121880;6;1;6;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;33,0493106556561
7121888;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ; ; ;2; ;2; ;1;2;56,6228166916577
7121890;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2;2; ;65,3784858211939
7121899;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;39,9532506215474
7121905;4;1;4;1; ; ;2;1;3; ; ;6000;1;3; ; ;6000;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;26,980151174174
7121921;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;2; ;261,970945952121
7121923;5;1;5;1; ; ;3;1;3; ; ;8500;1;3; ; ;5000;1;4; ; ; ; ;1;2;1;2; ; ;1;1; ; ;1;1;1;2;1;1;1;2;1;1; ; ; ; ;2; ;2; ;2; ;180,860443251944
7121924;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;182,76143062448
7121926;3;1;3;1; ; ;1;1;3; ; ;5000;1;3; ; ;2000;1;2; ; ; ; ;1;4;1;4;1;3;1;2;1;4;1;2;1;2;1;1;1;4; ; ; ; ; ; ;2; ;1;2;2; ;194,873221516412
7121928;6;1;6;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2; ; ;1;2; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;168,9046495127
7121936;4;1;4;2;1;5; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ;1;1; ; ; ; ;1;1;1;2;1;1;1;2; ; ;1;1; ; ; ; ; ; ;2; ;2; ;1;2;55,7321409230016
7121943;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;71,6183217988693
7121952;4;1;4;1; ; ;5;2; ; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1;1;1; ; ; ; ;1;1;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;140,209865733958
7121954;2;1;2;1; ; ;2;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ;1;2;1;1;1;2;1;2;1;2; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;67,2110178973356
7121957;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ; ; ;2; ;2; ;2; ;212,423619494282
7121969;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;118,84064725421
7122005;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;313,546496690906
7122020;4;1;4;2;2;3; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ;1;2;1;2; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;97,5561914603862
7122023;2;1;2;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;97,7392791444893
7122037;4;1;4;1; ; ;2;1;3; ; ;15000;1;3; ; ;5000;1;1; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ; ;1;3;1;1; ; ; ; ; ; ; ; ;1;2;2; ;2; ;33,9449505271756
7122039;5;1;5;1; ; ;3;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;98,9568783392005
7122042;5;1;5;1; ; ;2;1;3; ; ;18000;1;3; ; ;3000;1;1; ; ; ; ;1;1;1;2; ; ; ; ; ; ;1;2;1;3;1;1; ; ;1;2; ; ; ; ;1;2;2; ;2; ;59,7184741435753
7122042;3;2;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;2; ;2; ;2; ;59,7184741435753
7122055;3;1;3;1; ; ;1;1;2;1400;8000; ;1;2;500;2000; ;2; ;2;48;6; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;457,485412010637
7122061;4;1;4;5;2;8; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;2;2; ;2; ;389,854258555622
7122075;2;1;2;1; ; ;1;1;2;1000;4500; ;1;2;500;2000; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;241,438570819301
7122079;8;1;8;1; ; ;3;1;3; ; ;10000;1;3; ; ;2000;1;3; ; ; ; ;1;2; ; ; ; ;1;4; ; ; ; ;1;3;1;1;1;2; ; ; ; ; ; ;1;2;1;2;1;2;367,728103205809
7122080;3;2;3;1; ; ;2;1;2;1461;7000; ;1;2;99;2000; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;349,952660157559
7122086;4;1;4;2;2;5; ;2; ; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;290,096461835301
7122088;4;1;4;1; ; ;2;1;3; ; ;10000;1;3; ; ;3000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;263,08462683784
7122088;5;1;5;5;2;6; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;263,08462683784
7122089;5;1;5;2;2;6; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;264,803452836306
7122089;6;1;6;2;2;6; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;264,803452836306
7122094;4;1;4;1; ; ;2;1;3; ; ;5000;1;3; ; ;1500;1;2; ; ; ; ;1;2;1;2; ; ;1;2; ; ;1;2;1;3; ; ;1;3; ; ; ; ; ; ;2; ;1;2;1;2;205,653989717757
7122094;5;1;5;1; ; ;2;1;3; ; ;5000;1;3; ; ;1500;1;2; ; ; ; ;1;2; ; ; ; ;1;2; ; ;1;3;1;3; ; ;1;3; ; ; ; ; ; ;2; ;1;2;1;2;205,653989717757
7122110;3;1;3;2;1;4; ;1;1; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;206,31921912463
7122122;4;1;4;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;162,331776426544
7122123;6;1;6;5;2;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;136,558466751482
7122131;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ;1;2;1;2;1;1;1;2; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;242,855244842916
7122134;5;1;5;1; ; ;2;1;3; ; ;6000;1;3; ; ;2000;1;4; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2;1;2; ; ; ; ; ; ; ; ;1;2;2; ;1;2;293,296036987892
7122140;2;1;2;1; ; ;1;1;3; ; ;2000;1;3; ; ;1000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;1;2;2; ;2; ;298,931791863295
7122141;3;1;3;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;3; ; ; ; ; ; ; ; ;2; ;2; ;2; ;331,45885913346
7122143;3;1;3;2;1;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;3;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;336,19080770089
7122153;4;1;4;2;1;5; ;1;1; ; ; ;1;1; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;242,86748070667
7122159;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;803,058609431709
7122174;3;1;3;1; ; ;5;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ;1;1; ; ;1;2;1;1; ; ; ; ;1;2;1;2;1;2; ; ; ; ; ; ;1;1;2; ;2; ;622,812837624722
